HAVERSINE DISTANCE MATRIX — 20 KEY PIN CODE CENTROIDS (km),,,,,,,,,,,,,,,,,,,,,
"Straight-line (crow-fly) distances in km. Actual road distances typically 1.3–1.8× higher. Color: green=close, red=far",,,,,,,,,,,,,,,,,,,,,
PIN → Area ↓,"560001
CBD","560003
Malleswaram","560004
Basavanagudi","560011
Jayanagar-3Blk","560029
Lakkasandra/Christ","560034
Koramangala","560038
Indiranagar","560041
Jayanagar","560045
Nagavara/Manyata","560050
Banashankari","560066
Whitefield","560071
Domlur","560076
BTM Layout","560078
JP Nagar","560093
CV Raman/Bagmane","560100
Electronic City","560102
HSR Layout","560103
Bellandur","560063
Yelahanka","560022
Yeshwanthpur",
560001 CBD,0,4.7,4.1,4.7,4.8,5.2,5.1,5.2,9.3,6.2,16.6,6.0,6.4,7.4,7.4,17.2,8.2,10.3,14.4,7.7,
560003 Malleswaram,4.7,0,6.4,8.5,9.1,9.8,8.5,8.9,7.9,8.5,20.0,10.1,10.8,11.1,10.5,21.8,12.9,14.7,11.3,3.1,
560004 Basavanagudi,4.1,6.4,0,2.8,4.1,6.2,8.7,2.9,13.1,2.2,19.7,9.0,5.6,4.9,11.0,16.7,8.6,12.1,17.5,8.8,
560011 Jayanagar-3Blk,4.7,8.5,2.8,0,1.4,3.9,7.8,0.6,13.9,3.2,17.9,7.4,2.8,2.7,10.0,13.9,5.8,9.7,19.0,11.2,
560029 Lakkasandra/Christ,4.8,9.1,4.1,1.4,0,2.6,7.0,1.8,13.8,4.6,16.5,6.3,1.7,3.0,9.0,12.8,4.5,8.3,19.1,12.0,
560034 Koramangala,5.2,9.8,6.2,3.9,2.6,0,5.1,4.4,12.9,7.1,14.0,3.9,2.6,5.2,6.8,12.1,3.1,5.9,18.7,12.9,
560038 Indiranagar,5.1,8.5,8.7,7.8,7.0,5.1,0,8.4,8.3,10.5,11.7,2.2,7.7,9.9,2.3,15.9,7.4,6.9,14.4,11.4,
560041 Jayanagar,5.2,8.9,2.9,0.6,1.8,4.4,8.4,0,14.5,2.8,18.4,8.0,2.9,2.2,10.5,13.8,6.1,10.1,19.5,11.5,
560045 Nagavara/Manyata,9.3,7.9,13.1,13.9,13.8,12.9,8.3,14.5,0,15.3,16.4,10.5,15.0,16.6,8.6,24.2,15.6,15.0,6.2,8.9,
560050 Banashankari,6.2,8.5,2.2,3.2,4.6,7.1,10.5,2.8,15.3,0,21.0,10.4,5.6,3.9,12.8,16.1,8.8,12.9,19.7,10.6,
560066 Whitefield,16.6,20.0,19.7,17.9,16.5,14.0,11.7,18.4,16.4,21.0,0,10.8,16.1,18.8,9.5,16.4,13.5,8.9,22.0,22.7,
560071 Domlur,6.0,10.1,9.0,7.4,6.3,3.9,2.2,8.0,10.5,10.4,10.8,0,6.5,9.1,3.0,13.8,5.6,4.8,16.6,13.1,
560076 BTM Layout,6.4,10.8,5.6,2.8,1.7,2.6,7.7,2.9,15.0,5.6,16.1,6.5,0,2.7,9.4,11.2,3.2,7.5,20.6,13.6,
560078 JP Nagar,7.4,11.1,4.9,2.7,3.0,5.2,9.9,2.2,16.6,3.9,18.8,9.1,2.7,0,11.9,12.2,5.6,10.1,21.7,13.7,
560093 CV Raman/Bagmane,7.4,10.5,11.0,10.0,9.0,6.8,2.3,10.5,8.6,12.8,9.5,3.0,9.4,11.9,0,16.2,8.5,6.6,14.7,13.2,
560100 Electronic City,17.2,21.8,16.7,13.9,12.8,12.1,15.9,13.8,24.2,16.1,16.4,13.8,11.2,12.2,16.2,0,9.0,9.8,30.3,24.8,
560102 HSR Layout,8.2,12.9,8.6,5.8,4.5,3.1,7.4,6.1,15.6,8.8,13.5,5.6,3.2,5.6,8.5,9.0,0,4.6,21.5,15.9,
560103 Bellandur,10.3,14.7,12.1,9.7,8.3,5.9,6.9,10.1,15.0,12.9,8.9,4.8,7.5,10.1,6.6,9.8,4.6,0,21.2,17.8,
560063 Yelahanka,14.4,11.3,17.5,19.0,19.1,18.7,14.4,19.5,6.2,19.7,22.0,16.6,20.6,21.7,14.7,30.3,21.5,21.2,0,10.4,
560022 Yeshwanthpur,7.7,3.1,8.8,11.2,12.0,12.9,11.4,11.5,8.9,10.6,22.7,13.1,13.6,13.7,13.2,24.8,15.9,17.8,10.4,0,
